Newman,Newman,Newman,Agr,Agr,Agr,Cap5D,Cap5D,Cap5D,Blank,Blank,Blank,Time
0.245199993,0.156000003,0.154100001,0.216600001,0.169400007,0.178599998,0.202800006,0.152199998,0.152700007,0.187999994,0.136700004,0.133699998,0
0.220699996,0.158899993,0.156800002,0.219500005,0.1708,0.184200004,0.206799999,0.155300006,0.155900002,0.193700001,0.137999997,0.136500001,1
0.197799996,0.165099993,0.160699993,0.224299997,0.175799996,0.189300001,0.212899998,0.159799993,0.161500007,0.197999999,0.140599996,0.138400003,2
0.190400004,0.172900006,0.165600002,0.233600006,0.182799995,0.198400006,0.215599999,0.165299997,0.168899998,0.205599993,0.143900007,0.141800001,3
0.199399993,0.178499997,0.172900006,0.241600007,0.191100001,0.212300003,0.2245,0.173999995,0.178000003,0.208499998,0.145600006,0.1435,4
0.207100004,0.190500006,0.182400003,0.254900008,0.207699999,0.228499994,0.237200007,0.186700001,0.193299994,0.214100003,0.150800005,0.146899998,5
0.219099998,0.201199993,0.194999993,0.269899994,0.224600002,0.249300003,0.252799988,0.203999996,0.211899996,0.216399997,0.1514,0.149499997,6
0.234799996,0.216800004,0.213400006,0.291299999,0.2509,0.277099997,0.265300006,0.222499996,0.233600006,0.220300004,0.157000005,0.152999997,7
0.251399994,0.231299996,0.232199997,0.318500012,0.280699998,0.304899991,0.291500002,0.252499998,0.263999999,0.221100003,0.159700006,0.155699998,8
0.275000006,0.255600005,0.2579,0.347299993,0.314700007,0.341500014,0.321099997,0.289400011,0.300000012,0.225500003,0.162599996,0.158000007,9
0.302300006,0.286300004,0.290800005,0.382499993,0.354799986,0.382800013,0.360500008,0.334500015,0.344500005,0.228200004,0.164900005,0.160699993,10
0.342900008,0.326599985,0.3301,0.421000004,0.396499991,0.424600005,0.407400012,0.3847,0.395399988,0.231600001,0.168300003,0.163000003,11
0.390300006,0.376700014,0.379999995,0.453299999,0.433299989,0.467999995,0.456900001,0.43720001,0.448300004,0.233899996,0.1708,0.166999996,12
0.439500004,0.428499997,0.4296,0.492900014,0.478799999,0.515999973,0.507499993,0.49059999,0.500999987,0.237499997,0.174199998,0.168300003,13
0.487399995,0.477999985,0.477699995,0.537699997,0.528400004,0.568499982,0.557399988,0.54339999,0.556299984,0.238600001,0.175999999,0.171200007,14
0.543299973,0.539600015,0.530300021,0.588500023,0.582300007,0.62470001,0.611599982,0.599799991,0.611100018,0.242200002,0.179499999,0.175600007,15
