time,48RI3,59AI7,45RD10,45CD2,48RD1,48RI2,061N5,186RI6,48RI3,59AI7,45RD10,45CD2,48RD1,48RI2,061N5,186RI6,48RI3,59AI7,45RD10,45CD2,48RD1,48RI2,061N5,186RI6,48RI3,59AI7,45RD10,45CD2,48RD1,48RI2,061N5,186RI6,48RI3,59AI7,45RD10,45CD2,48RD1,48RI2,061N5,186RI6
0,0.113899998,0.114200003,0.119199999,0.1074,0.115099996,0.108400002,0.115500003,0.188600004,0.110600002,0.113799997,0.116099998,0.1065,0.112800002,0.111299999,0.112499997,0.122000001,0.112400003,0.111400001,0.117799997,0.105999999,0.110799998,0.1096,0.114399999,0.123400003,0.111299999,0.112199999,0.115900002,0.109300002,0.110699996,0.111000001,0.115500003,0.117600001,0.1087,0.1149,0.113300003,0.101400003,0.110600002,0.109700002,0.1153,0.125599995
5,0.118500002,0.118600003,0.122900002,0.1109,0.119900003,0.111699998,0.120800003,0.116700001,0.115500003,0.117899999,0.119400002,0.110299997,0.116999999,0.115199998,0.119900003,0.125300005,0.117700003,0.116300002,0.120399997,0.109399997,0.116700001,0.1131,0.118900001,0.127900004,0.116099998,0.116300002,0.119000003,0.112300001,0.115800001,0.112300001,0.119099997,0.121100001,0.114200003,0.117700003,0.115699999,0.103699997,0.115199998,0.111400001,0.118500002,0.131200001
10,0.119800001,0.1197,0.123999998,0.111500002,0.120800003,0.112199999,0.121699996,0.117299996,0.116700001,0.118799999,0.120099999,0.111500002,0.1175,0.115999997,0.120899998,0.125699997,0.118799999,0.1175,0.121399999,0.1105,0.1175,0.113799997,0.1197,0.128800005,0.1171,0.117200002,0.119800001,0.1131,0.116800003,0.112800002,0.119599998,0.121399999,0.1153,0.118500002,0.116499998,0.104599997,0.115699999,0.1118,0.119199999,0.132300004
15,0.120399997,0.120099999,0.124799997,0.112300001,0.121299997,0.1127,0.122299999,0.117700003,0.117200002,0.1193,0.120499998,0.112099998,0.117899999,0.116300002,0.1219,0.126100004,0.119400002,0.117899999,0.1219,0.111100003,0.117899999,0.114200003,0.120499998,0.129299998,0.117700003,0.117600001,0.120200001,0.113799997,0.117299996,0.113200001,0.119999997,0.121600002,0.115900002,0.118900001,0.116800003,0.105099998,0.1162,0.112199999,0.119599998,0.1329
20,0.120999999,0.120499998,0.125200003,0.112800002,0.1219,0.1131,0.122599997,0.117700003,0.117700003,0.1197,0.121100001,0.112599999,0.118600003,0.116899997,0.122299999,0.1259,0.119900003,0.118299998,0.122400001,0.111599997,0.118500002,0.114600003,0.120999999,0.129600003,0.118199997,0.117899999,0.1206,0.114200003,0.117899999,0.113700002,0.120200001,0.121799998,0.116599999,0.1193,0.117200002,0.105400003,0.116700001,0.112499997,0.119999997,0.133200005
25,0.121699996,0.120999999,0.125599995,0.113200001,0.122599997,0.113700002,0.123199999,0.117899999,0.118199997,0.120099999,0.121399999,0.112999998,0.119000003,0.1175,0.122500002,0.126200005,0.120700002,0.118799999,0.1228,0.111900002,0.118900001,0.115199998,0.121200003,0.129299998,0.118799999,0.118199997,0.121200003,0.114699997,0.1184,0.114100002,0.120499998,0.121699996,0.116899997,0.119599998,0.117700003,0.105499998,0.117299996,0.112999998,0.120200001,0.133300006
30,0.122400001,0.121600002,0.126300007,0.113799997,0.123400003,0.114299998,0.124399997,0.118799999,0.119000003,0.120700002,0.122100003,0.113600001,0.119599998,0.118000001,0.123800002,0.127000004,0.121299997,0.119400002,0.123400003,0.112499997,0.119599998,0.115699999,0.122199997,0.130199999,0.119400002,0.118699998,0.121799998,0.1153,0.119099997,0.114600003,0.121399999,0.122199997,0.117600001,0.120200001,0.118299998,0.105899997,0.117799997,0.113399997,0.120899998,0.133900002
35,0.122900002,0.122100003,0.126900002,0.114100002,0.123999998,0.1149,0.125499994,0.120399997,0.119400002,0.121200003,0.122500002,0.114,0.120300002,0.118699998,0.124700002,0.128099993,0.122000001,0.119800001,0.123999998,0.112899996,0.120300002,0.116400003,0.123400003,0.131600007,0.120099999,0.119099997,0.122400001,0.115599997,0.119400002,0.115199998,0.122199997,0.123000003,0.118500002,0.120700002,0.118600003,0.106200002,0.118299998,0.114,0.1219,0.135199994
40,0.1237,0.122500002,0.127299994,0.114600003,0.124799997,0.115699999,0.127299994,0.122199997,0.120200001,0.121600002,0.123099998,0.114500001,0.120700002,0.119800001,0.126300007,0.129600003,0.122699998,0.120200001,0.124300003,0.113300003,0.120800003,0.1171,0.124600001,0.133000001,0.120800003,0.119599998,0.122900002,0.1162,0.120200001,0.115900002,0.123499997,0.123899996,0.119000003,0.121200003,0.1193,0.1065,0.119000003,0.114500001,0.123000003,0.136700004
45,0.124700002,0.123099998,0.128099993,0.115400001,0.125699997,0.116899997,0.129700005,0.125,0.120899998,0.122199997,0.123999998,0.115000002,0.121699996,0.120999999,0.128399998,0.131699994,0.123599999,0.120800003,0.125100002,0.113799997,0.1215,0.118100002,0.126499996,0.135100007,0.121600002,0.120200001,0.1237,0.116800003,0.120800003,0.116800003,0.125,0.125400007,0.119800001,0.121799998,0.119999997,0.106799997,0.119599998,0.115400001,0.124600001,0.138600007
50,0.126100004,0.124399997,0.129800007,0.116300002,0.127299994,0.1184,0.1329,0.128299996,0.122199997,0.123499997,0.125200003,0.115999997,0.122900002,0.1228,0.131500006,0.134599999,0.125200003,0.1219,0.126399994,0.114699997,0.122699998,0.119599998,0.129199997,0.137999997,0.122900002,0.121299997,0.125200003,0.117799997,0.121799998,0.118100002,0.127499998,0.127100006,0.120999999,0.123000003,0.121200003,0.107299998,0.120499998,0.116499998,0.126800001,0.141499996
55,0.128199995,0.126399994,0.131799996,0.117700003,0.1294,0.1206,0.136600003,0.132699996,0.1241,0.125300005,0.127100006,0.117399998,0.124700002,0.125100002,0.135000005,0.1382,0.127000004,0.1237,0.128000006,0.115900002,0.124399997,0.121699996,0.132300004,0.141900003,0.124700002,0.1228,0.126900002,0.119199999,0.123499997,0.119599998,0.1303,0.129700005,0.122599997,0.124600001,0.122699998,0.108000003,0.1219,0.118000001,0.129500002,0.145099998
60,0.130799994,0.128900006,0.134399995,0.1197,0.132300004,0.123300001,0.141499996,0.138099998,0.126300007,0.127599999,0.129500002,0.119199999,0.126800001,0.128399998,0.139300004,0.142900005,0.129500002,0.126000002,0.130500004,0.1175,0.126499996,0.124300003,0.136299998,0.146799996,0.127100006,0.125100002,0.129299998,0.121299997,0.125400007,0.122000001,0.133599997,0.132699996,0.124899998,0.126900002,0.124799997,0.108900003,0.123800002,0.120099999,0.1329,0.149599999
65,0.134599999,0.132400006,0.138099998,0.122100003,0.135900006,0.126900002,0.148000002,0.144500002,0.129500002,0.130999997,0.132599995,0.1215,0.129999995,0.131999999,0.145099998,0.148800001,0.133200005,0.129299998,0.133599997,0.119599998,0.129600003,0.127299994,0.141299993,0.152700007,0.130400002,0.128099993,0.132599995,0.1237,0.128099993,0.124899998,0.138300002,0.136999995,0.127800003,0.129999995,0.127499998,0.110200003,0.126399994,0.122699998,0.137099996,0.155300006
70,0.138699993,0.136500001,0.142499998,0.125100002,0.140599996,0.130700007,0.155000001,0.152799994,0.133499995,0.135199994,0.136299998,0.124399997,0.133599997,0.136600003,0.151500002,0.156000003,0.137500003,0.133000001,0.137400001,0.122299999,0.133200005,0.131400004,0.147400007,0.160300002,0.134399995,0.131600007,0.136299998,0.126699999,0.131600007,0.128299996,0.143600002,0.141800001,0.131600007,0.133699998,0.130799994,0.111599997,0.129500002,0.125799999,0.142299995,0.162300006
75,0.143800005,0.141399994,0.147799999,0.128900006,0.145799994,0.135399997,0.162699997,0.160999998,0.137899995,0.139599994,0.141299993,0.128000006,0.138099998,0.141900003,0.158800006,0.164100006,0.142399997,0.137400001,0.142399997,0.125699997,0.137500003,0.135700002,0.154599994,0.169,0.138899997,0.136000007,0.141200006,0.130500004,0.135800004,0.132200003,0.150199994,0.148100004,0.135800004,0.138099998,0.135199994,0.113499999,0.133399993,0.128999993,0.148599997,0.170699999
80,0.150000006,0.147200003,0.154599994,0.133399993,0.152099997,0.140699998,0.171800002,0.169200003,0.143199995,0.145300001,0.147200003,0.132499993,0.143299997,0.147799999,0.166899994,0.172800004,0.148100004,0.142700002,0.148200005,0.129500002,0.142499998,0.140900001,0.161899999,0.178100005,0.144199997,0.141100004,0.147100002,0.135299996,0.140499994,0.136600003,0.156800002,0.154599994,0.141000003,0.143199995,0.140100002,0.115999997,0.137799993,0.133300006,0.155300006,0.180500001
85,0.157100007,0.154100001,0.162699997,0.138799995,0.159600005,0.147599995,0.1831,0.179399997,0.149499997,0.151800007,0.154300004,0.137799993,0.149299994,0.155399993,0.177200004,0.182400003,0.155100003,0.148900002,0.155300006,0.134399995,0.148300007,0.147100002,0.170699999,0.188099995,0.150600001,0.146899998,0.153999999,0.140799999,0.145899996,0.141900003,0.1646,0.161500007,0.146699995,0.149299994,0.146300003,0.118799999,0.142900005,0.137899995,0.162499994,0.189899996
90,0.165199995,0.162200004,0.171399996,0.145199999,0.167999998,0.155300006,0.196099997,0.190300003,0.1567,0.159899995,0.162499994,0.144099995,0.156599998,0.164499998,0.189099997,0.194000006,0.163200006,0.156299993,0.163699999,0.140200004,0.155499995,0.154699996,0.181899995,0.200200006,0.158199996,0.153999999,0.162300006,0.147400007,0.1523,0.148800001,0.174799994,0.170000002,0.153799996,0.1567,0.153600007,0.122199997,0.149200007,0.143999994,0.172199994,0.201000005
95,0.1752,0.171700001,0.181500003,0.1523,0.178000003,0.164800003,0.211400002,0.201900005,0.165299997,0.169,0.171599999,0.150800005,0.165000007,0.174400002,0.203199998,0.207699999,0.172700003,0.165099993,0.172499999,0.146400005,0.163599998,0.163499996,0.194399998,0.214100003,0.166999996,0.162499994,0.171200007,0.154899999,0.159999996,0.156399995,0.185900003,0.179499999,0.161599994,0.165199995,0.161200002,0.125799999,0.156000003,0.150999993,0.182899997,0.214499995
100,0.1866,0.182799995,0.1928,0.160099998,0.190200001,0.175999999,0.226500005,0.215399995,0.175999999,0.179499999,0.181600004,0.158700004,0.175099999,0.186900005,0.218600005,0.222900003,0.183799997,0.175500005,0.182899997,0.153400004,0.173700005,0.174099997,0.209299996,0.229499996,0.177599996,0.172399998,0.181500003,0.163000003,0.169499993,0.166199997,0.199300006,0.191499993,0.171800002,0.1752,0.170300007,0.1303,0.164700001,0.159299999,0.195600003,0.228699997
105,0.200200006,0.195099995,0.206100002,0.1699,0.203999996,0.188299999,0.245399997,0.228799999,0.187999994,0.191599995,0.193399996,0.167899996,0.186700001,0.201000005,0.234400004,0.238399997,0.196899995,0.186700001,0.194399998,0.161799997,0.184900001,0.186299995,0.223700002,0.246000007,0.189799994,0.183699995,0.192699999,0.172499999,0.179800004,0.176599994,0.213699996,0.204500005,0.1831,0.186399996,0.180700004,0.135600001,0.174799994,0.168799996,0.209800005,0.244200006
110,0.215299994,0.209600002,0.221499994,0.181600004,0.219500005,0.202600002,0.265100002,0.243699998,0.202000007,0.205699995,0.207399994,0.179399997,0.199900001,0.216399997,0.254000008,0.258399993,0.211700007,0.200499997,0.208100006,0.172399998,0.197999999,0.1998,0.242300004,0.265599996,0.203400001,0.196600005,0.206799999,0.184300005,0.192200005,0.188700005,0.228499994,0.218999997,0.195999995,0.199399993,0.1928,0.141900003,0.186299995,0.180099994,0.224199995,0.264400005
115,0.2315,0.226500005,0.238800004,0.194900006,0.235499993,0.217899993,0.286799997,0.25999999,0.217500001,0.221799999,0.224199995,0.1919,0.214699998,0.232099995,0.273900002,0.278400004,0.228200004,0.215900004,0.224999994,0.183899999,0.212400004,0.214699998,0.260899991,0.28580001,0.2192,0.211400002,0.223299995,0.197699994,0.206100002,0.202399999,0.247199997,0.233199999,0.2104,0.214399993,0.207200006,0.149200007,0.199200004,0.192300007,0.241999999,0.283699989
120,0.247299999,0.243399993,0.256500006,0.208900005,0.252600014,0.233999997,0.310900003,0.278600007,0.233099997,0.238900006,0.240500003,0.206,0.230800003,0.249799997,0.297199994,0.299800009,0.244200006,0.232600003,0.2412,0.1972,0.227699995,0.230399996,0.282599986,0.307900012,0.234999999,0.228,0.239500001,0.213100001,0.221399993,0.217700005,0.266499996,0.251399994,0.226699993,0.230900005,0.223100007,0.157700002,0.213400006,0.206400007,0.261000007,0.305400014
125,0.267100006,0.262100011,0.276499987,0.224000007,0.272799999,0.253699988,0.338099986,0.297600001,0.250200003,0.256399989,0.259000003,0.220899999,0.246700004,0.270500004,0.322699994,0.324000001,0.262800008,0.249300003,0.25999999,0.211600006,0.244000003,0.248300001,0.306400001,0.332300007,0.251899987,0.244000003,0.257999986,0.227300003,0.236699998,0.233400002,0.289000005,0.271400005,0.242699996,0.247400001,0.238499999,0.166899994,0.228699997,0.221900001,0.282299995,0.328399986
130,0.289099991,0.283399999,0.296700001,0.241999999,0.294999987,0.273699999,0.368999988,0.319499999,0.270700008,0.2773,0.278400004,0.238000005,0.2676,0.292699993,0.351500005,0.352200001,0.284299999,0.269600004,0.278699994,0.226799995,0.263500005,0.2685,0.333400011,0.360199988,0.272799999,0.263300002,0.277099997,0.245000005,0.255199999,0.252200007,0.312900007,0.292400002,0.261999995,0.267199993,0.257099986,0.177900001,0.245800003,0.237599999,0.305400014,0.355599999
135,0.31189999,0.307000011,0.320800006,0.263099998,0.317699999,0.295899987,0.40200001,0.342099994,0.292400002,0.300199986,0.301400006,0.2588,0.289000005,0.314999998,0.382999986,0.382999986,0.307399988,0.292100012,0.301200002,0.2465,0.284700006,0.289700001,0.362599999,0.391499996,0.295100003,0.284799993,0.299499989,0.264899999,0.275200009,0.271899998,0.339300007,0.316599995,0.283800006,0.288300008,0.2773,0.191200003,0.265700012,0.257299989,0.330799997,0.385199994
140,0.336100012,0.331699997,0.345699996,0.284399986,0.342200011,0.319200009,0.4366,0.366699994,0.316000015,0.324600011,0.325399995,0.279500008,0.311199993,0.340000004,0.416000009,0.416299999,0.330900013,0.316000015,0.325300008,0.26730001,0.306499988,0.312000006,0.394300014,0.424699992,0.317600012,0.308699995,0.323599994,0.287200004,0.296499997,0.292699993,0.368699998,0.342099994,0.305700004,0.312000006,0.300500005,0.206599995,0.28670001,0.27759999,0.359200001,0.419
145,0.363400012,0.359499991,0.373600006,0.305500001,0.369899988,0.346500009,0.471500009,0.393099993,0.340999991,0.351200014,0.350699991,0.300399989,0.335500002,0.368000001,0.450899988,0.451000005,0.357300013,0.341300011,0.350699991,0.287699997,0.329899997,0.337199986,0.42840001,0.458799988,0.342900008,0.333499998,0.348699987,0.309100002,0.319000006,0.315400004,0.4005,0.370099992,0.328999996,0.337099999,0.323199987,0.223499998,0.307799995,0.298299998,0.391000003,0.454400003
150,0.394199997,0.389099985,0.403699994,0.331200004,0.399500012,0.376199991,0.504199982,0.419,0.369300008,0.379999995,0.378600001,0.324299991,0.362800002,0.398200005,0.485300004,0.484600008,0.387499988,0.369800001,0.377700001,0.309700012,0.35679999,0.365500003,0.463099986,0.491299987,0.371100008,0.361099988,0.376399994,0.333499998,0.343899995,0.341699988,0.433999985,0.4014,0.356299996,0.364399999,0.34830001,0.242500007,0.332100004,0.321799994,0.422899991,0.489300013
155,0.426299989,0.420300007,0.438199997,0.360700011,0.431100011,0.407400012,0.541499972,0.4454,0.400200009,0.411199987,0.412,0.353799999,0.393700004,0.430900007,0.51819998,0.517400026,0.418799996,0.399899989,0.4102,0.337099999,0.386099994,0.396100014,0.494300008,0.523699999,0.402500004,0.390599996,0.408100009,0.362199992,0.372099996,0.371199995,0.467999995,0.435000002,0.386299998,0.39410001,0.377700001,0.263300002,0.359600008,0.348699987,0.456200004,0.520799994
160,0.460299999,0.453799993,0.474099994,0.392699987,0.46360001,0.439399987,0.583999991,0.470800012,0.432799995,0.444700003,0.44780001,0.386099994,0.424400002,0.463499993,0.556999981,0.556299984,0.452300012,0.432000011,0.44569999,0.368099988,0.417199999,0.4278,0.529299974,0.560199976,0.435099989,0.422100008,0.442699999,0.395500004,0.402399987,0.400999993,0.498299986,0.467400014,0.418099999,0.425300002,0.411000013,0.285400003,0.388799995,0.376899987,0.486999989,0.55369997
165,0.493000001,0.486000001,0.506299973,0.425999999,0.494399995,0.470499992,0.629700005,0.497799993,0.466800004,0.478599995,0.481999993,0.419999987,0.456400007,0.493099988,0.600899994,0.600000024,0.483999997,0.466100007,0.479099989,0.400599986,0.448300004,0.460799992,0.568599999,0.602699995,0.467099994,0.456099987,0.476500005,0.429899991,0.433999985,0.432099998,0.532800019,0.498199999,0.449999988,0.458900005,0.444499999,0.308200002,0.41960001,0.407099992,0.519900024,0.592599988
170,0.524800003,0.518700004,0.539499998,0.459600002,0.525699973,0.503099978,0.673399985,0.526600003,0.497900009,0.510599971,0.512600005,0.453599989,0.486499995,0.52640003,0.644900024,0.644599974,0.514400005,0.497299999,0.5097,0.433800012,0.478599995,0.490700006,0.612100005,0.648100019,0.497999996,0.487199992,0.507099986,0.462700009,0.46540001,0.46450001,0.572700024,0.531899989,0.481900007,0.49059999,0.475499988,0.333499998,0.451400012,0.438800007,0.557900012,0.635599971
175,0.560100019,0.5546,0.576499999,0.492799997,0.560699999,0.538900018,0.717499971,0.554499984,0.531400025,0.544700027,0.546899974,0.485799998,0.51849997,0.561699986,0.687900007,0.686399996,0.549700022,0.531300008,0.543799996,0.466300011,0.508899987,0.524299979,0.655399978,0.689599991,0.531300008,0.520099998,0.540300012,0.493900001,0.494599998,0.495700002,0.615100026,0.570900023,0.514800012,0.523299992,0.505800009,0.362500012,0.48179999,0.471700013,0.600000024,0.67809999
180,0.598200023,0.591700017,0.614300013,0.529100001,0.597299993,0.576499999,0.759000003,0.581399977,0.568700016,0.580799997,0.585399985,0.521399975,0.553300023,0.599600017,0.730099976,0.727500021,0.587300003,0.566799998,0.580600023,0.500400007,0.543099999,0.560299993,0.697799981,0.728100002,0.567600012,0.55369997,0.577499986,0.528500021,0.52670002,0.529699981,0.656599998,0.614400029,0.549600005,0.557500005,0.541400015,0.395200014,0.512700021,0.503799975,0.64230001,0.716799974
185,0.637499988,0.630599976,0.652700007,0.568099976,0.635100007,0.612999976,0.796400011,0.605099976,0.6074,0.618499994,0.623700023,0.560599983,0.589699984,0.636799991,0.76880002,0.765500009,0.625500023,0.604600012,0.619499981,0.538200021,0.579599977,0.596800029,0.738499999,0.766600013,0.604799986,0.590699971,0.614499986,0.567900002,0.561999977,0.564400017,0.698700011,0.657500029,0.586499989,0.593800008,0.57889998,0.429500014,0.546899974,0.537899971,0.684400022,0.752200007
190,0.675700009,0.66900003,0.691799998,0.60680002,0.672399998,0.650099993,0.836000025,0.625400007,0.644599974,0.657800019,0.660700023,0.598100007,0.626699984,0.674300015,0.808499992,0.806699991,0.662899971,0.641799986,0.656499982,0.576399982,0.615400016,0.632200003,0.7773,0.808499992,0.64230001,0.628600001,0.652400017,0.606100023,0.598699987,0.599699974,0.740199983,0.700200021,0.623199999,0.630699992,0.615199983,0.461199999,0.582700014,0.573199987,0.726100028,0.787800014
195,0.714900017,0.709500015,0.73119998,0.644699991,0.712100029,0.690299988,0.877900004,0.643700004,0.682399988,0.697000027,0.698499978,0.635100007,0.662299991,0.715900004,0.849600017,0.851999998,0.702600002,0.679199994,0.693499982,0.612600029,0.651000023,0.669200003,0.817300022,0.853699982,0.680299997,0.666499972,0.689800024,0.64349997,0.633899987,0.635100007,0.779900014,0.739499986,0.6602,0.668500006,0.652400017,0.495099992,0.619099975,0.608399987,0.764500022,0.827300012
