time1,time2,Strain,R_est,Rsq,Yield
110,154,X48RI3,0.01527554,0.99962207,1.609
110,154,X59AI7,0.01553377,0.99972279,1.614
110,154,X45RD10,0.01500901,0.99979165,1.618
110,154,X45CD2,0.01526649,0.99940345,1.652
110,154,X48RD1,0.01514464,0.99989569,1.616
110,154,X48RI2,0.01560092,0.99974609,1.595
110,154,X061N5,0.01639104,0.99891478,1.803
110,154,X186RI6,0.01370592,0.99991241,1.248
110,154,X48RI3.1,0.01520358,0.99960117,1.592
110,154,X59AI7.1,0.01543389,0.99971577,1.603
110,154,X45RD10.1,0.01504216,0.9997906,1.599
110,154,X45CD2.1,0.01511599,0.99954497,1.631
110,154,X48RD1.1,0.01503891,0.9996622,1.595
110,154,X48RI2.1,0.01541681,0.99991462,1.595
110,154,X061N5.1,0.01651415,0.99966697,1.805
110,154,X186RI6.1,0.01608913,0.9995983,1.816
110,154,X48RI3.2,0.01518758,0.9996377,1.599
110,154,X59AI7.2,0.01541821,0.99963857,1.597
110,154,X45RD10.2,0.01487467,0.99978067,1.597
110,154,X45CD2.2,0.01505071,0.99925968,1.624
110,154,X48RD1.2,0.01487205,0.99970898,1.583
110,154,X48RI2.2,0.01521324,0.99980892,1.586
110,154,X061N5.2,0.01651758,0.99990814,1.809
110,154,X186RI6.2,0.01572832,0.99953841,1.821
110,154,X48RI3.3,0.01511556,0.99962054,1.598
110,154,X59AI7.3,0.01531763,0.99950444,1.591
110,154,X45RD10.3,0.01497769,0.99979223,1.597
110,154,X45CD2.3,0.014999,0.99942093,1.625
110,154,X48RD1.3,0.01466961,0.99977327,1.594
110,154,X48RI2.3,0.01493768,0.99980145,1.59
110,154,X061N5.3,0.01616261,0.99985979,1.823
110,154,X186RI6.3,0.0154979,0.99985701,1.835
110,154,X48RI3.4,0.01505178,0.99974331,1.609
110,154,X59AI7.4,0.01518293,0.99967895,1.607
110,154,X45RD10.4,0.01489949,0.99964805,1.585
136,174,X45CD2.4,0.01601529,0.99990262,1.643
110,154,X48RD1.4,0.0146791,0.9996727,1.613
110,154,X48RI2.4,0.01475488,0.99973802,1.607
110,154,X061N5.4,0.01602605,0.99976939,1.832
110,154,X186RI6.4,0.01574538,0.99954557,1.855
